id,"food","amount",cuisine_id,"created_at","updated_at"
205,"サラダ油","適宣",57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
206,"塩","小さじ１",57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
207,"レモン汁","大さじ２",57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
208,"豚肉","200g",57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
209,"ねぎ","1/2本",57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
210,"ごま油","大さじ３",57,"0000-00-00 00:00:00","0000-00-00 00:00:00"
212,"酒","大さじ１",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
213,"塩","小さじ1/3",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
214,"こしょう","少々",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
215,"卵","１個",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
216,"レタス","３枚",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
217,"酢","大さじ1/2",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
218,"砂糖","小さじ２",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
219,"玉ねぎ","1/8個",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
220,"牛乳","大さじ1/2",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
221,"・塩、こしょう","少々",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
222,"小麦粉","適宣",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
223,"とりむね肉","250g",58,"0000-00-00 00:00:00","0000-00-00 00:00:00"
224,"とり手羽先","８本",59,"0000-00-00 00:00:00","0000-00-00 00:00:00"
225,"しょうゆ","大さじ１",59,"0000-00-00 00:00:00","0000-00-00 00:00:00"
226,"・砂糖、みりん","大さじ1/2",59,"0000-00-00 00:00:00","0000-00-00 00:00:00"
227,"・塩、こしょう、小麦粉、揚げ油","適宣",59,"0000-00-00 00:00:00","0000-00-00 00:00:00"
228,"サラダ油","適宣",60,"0000-00-00 00:00:00","0000-00-00 00:00:00"
229,"とりもも肉","250g",60,"0000-00-00 00:00:00","0000-00-00 00:00:00"
230,"玉ねぎ","1/4個",60,"0000-00-00 00:00:00","0000-00-00 00:00:00"
231,"ピーマン","２個",60,"0000-00-00 00:00:00","0000-00-00 00:00:00"
232,"・酒、片栗粉","大さじ１",60,"0000-00-00 00:00:00","0000-00-00 00:00:00"
233,"・トマトケチャップ、酢","大さじ１",60,"0000-00-00 00:00:00","0000-00-00 00:00:00"
234,"・しょうゆ、砂糖","小さじ１",60,"0000-00-00 00:00:00","0000-00-00 00:00:00"
