id,"genre","name",calorie,"created_at","updated_at"
2003,"シチュー・スープ・汁物","けんちん汁",120,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2004,"シチュー・スープ・汁物","玉ねぎとワカメの味噌汁",46,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2005,"シチュー・スープ・汁物","根菜汁",60,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2006,"シチュー・スープ・汁物","なめこ汁",67,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2007,"シチュー・スープ・汁物","しじみ汁",34,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2008,"シチュー・スープ・汁物","クラムチャウダー",188,"2017-10-24 09:36:31","2017-10-24 09:36:31"
2009,"シチュー・スープ・汁物","卵スープ",33,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2010,"シチュー・スープ・汁物","わかめスープ",60,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2012,"シチュー・スープ・汁物","コーンスープ",185,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2013,"シチュー・スープ・汁物","ミネストローネ",137,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2015,"シチュー・スープ・汁物","トマトスープ",80,"2017-10-24 09:36:31","2017-10-24 09:36:31"
2016,"シチュー・スープ・汁物","オニオンスープ",88,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2017,"シチュー・スープ・汁物","野菜スープ",48,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2018,"シチュー・スープ・汁物","人参のポタージュ",127,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2019,"シチュー・スープ・汁物","かぼちゃのポタージュ",205,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2020,"シチュー・スープ・汁物","ポテトのポタージュ",224,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2021,"シチュー・スープ・汁物","ガスパチョ",129,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2022,"シチュー・スープ・汁物","ポトフ",188,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2023,"シチュー・スープ・汁物","ビーフシチュー",337,"2017-10-24 09:36:32","2017-10-24 09:36:32"
2024,"シチュー・スープ・汁物","クリームシチュー",244,"2017-10-24 09:36:32","2017-10-24 09:36:32"
